upc_a_code,item_name
100000019139,"POWER PLATE MEALS - SLOW COOKED SHREDDED BEEF WITH CHEESY MASHED POTATOES, CORN, SWEET POTATOES, AND GRAVY, BEEF"
101256100428,"SEVEN SUMMITS - CHOCOLATE CHIP VANILLA FLAVORED ICE CREAM BETWEEN TWO CHOCOLATE CHIP COOKIES ROLLED IN CHOCOLATE CHIPS ICE CREAM SANDWICH, CHOCOLATE CHIP"
104141531091,"GREENWISE - CHOCOLATE CAKE WITH CHOCOLATE GANACHE ICING, CHOCOLATE"
104141532891,"DELALLO - CRANBERRY WALNUT BISCOTTI, CRANBERRY WALNUT"
104141535191,"NOT A BRANDED ITEM - MINI CHOCOLATE WITH CHOCOLATE ICING CUPCAKES, MINI CHOCOLATE"
104141540391,BAKERY - GINGERBREAD DECORATE
107789034811,"WEGMANS - MINI SWEET ORGANIC PEPPERS, MINI SWEET"
108049580085,NUOVO PASTA - RAVIOLI
108532970058,NOT A BRANDED ITEM - BRUCE SWEET POTATO
108600068199,"SUNNIE - PIZZA FLATBREAD DIPPER, PIZZA"
111100024473,The Kroger Co. - BROCCOLI & CARROTS SLAW
111100024473,SIMPLE TRUTH ORGANIC - BROCCOLI & CARROTS SLAW
111101887474,"KROGER - ORIGINAL FRENCH TOAST STICKS, ORIGINAL"
111113636175,GOOD & DELISH - CHICK PEA SALAD
111113636243,GOOD & DELISH - PENNE W/ FRESH MOZZARELLA IN PESTO SAUCE
111152643059,"DAIFUKU - DAIFUKU, RED BEAN CAKE"
111152643110,"DAIFUKU - DAIFUKU, MOCHI MAME (RICE CAKE)"
111152687428,"DAIFUKU - DAIFUKU, RICE CAKE"
111509403442,ROUNDY'S - PEPPERMINT BARK
111509403510,"ROUNDY'S - ROUNDY'S, HOLIDAY NONPAREILS"
111509403688,ROUNDY'S - PEANUT BRITTLE
111509403756,"ROUNDY'S - ROUNDY'S, SNOWFLAKE PRETZELS"
111526723479,THE PASTA HOUSE CO. - SPAGHETTI SAUCE
111822655566,BIG WIN - FRUIT COCKTAIL IN LIGHT SYRUP
111822655573,BIG WIN - PEACHES SLICED IN LIGHT SYRUP
111822655573,"BIG WIN - SLICED PEACHES IN LIGHT SYRUP, LIGHT SYRUP"
111822655580,BIG WIN - MANDARIN ORANGES IN LIGHT SYRUP
114930005094,"BUNDABERG - BUNDABERG, GINGER BEER"
115418008323,ROUSES MARKETS - GRAPE CONCORD GRAPE
115418008330,ROUSES MARKETS - GRAPE JAM
115418008347,ROUSES MARKETS - CREAMY PEANUT BUTTER
